Rank,Gen,Score,Gini,Spearman,RMSE,ErrorRate,PatchType,Method,ScriptPath,ProgramID
1,9,0.9720300000000001,0.9728,0.8537,111.29,0.0037,full,kinematic_hybrid_mtl,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_9/main.py,16a4a737-f651-4ff4-81a3-304e9cc4fe62
2,11,0.96494,0.9735,0.8543,118.83,0.0037,diff,add_softclip_helper,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_11/main.py,695c36b4-8f57-4d7c-bdab-2eef3e96823c
3,23,0.86662,0.977,0.876,156.88,0.0037,diff,tail_huber_loss,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_23/main.py,d94dc68d-d4a7-4d51-a325-3cb6fe0904ca
4,43,0.860691,0.9636,0.8163,84.9,0.0037,full,mutual_dml_tcn,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_43/main.py,aa9cb76c-29c3-466b-bae2-5f860b95c16a
5,25,0.85878,0.9625,0.8285,91.37,0.0037,diff,add_static_volatility_trend,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_25/main.py,234fc7fd-6dca-4840-9ffc-2fffb7a41aa7
6,35,0.85471,0.968,0.8369,100.45,0.0037,diff,ranking_loss_and_attention,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_35/main.py,61076e7c-a062-4cc7-8286-7900968975c1
7,16,0.84943,0.9663,0.8254,100.62,0.0037,diff,attn_pool_fusion,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_16/main.py,1d88a2c1-0959-4af6-bc90-905923154e85
8,3,0.8396999999999999,0.9646,0.812,104.48,0.0037,diff,enhanced_tcn_depth_and_attention,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_3/main.py,997851b4-f6da-49f3-8425-e6ba45f5a41d
9,21,0.83782,0.965,0.8076,104.72,0.0037,diff,enhanced_temporal_attention_mechanism,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_21/main.py,f15bade1-43fd-432b-96e5-d3e0a55164be
10,45,0.837663,0.9651,0.8284,113.23,0.0037,full,log_cosh_robust_mtl_with_enhanced_features,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_45/main.py,689587cb-ec78-4541-b99d-5b3fcc7cb686
11,6,0.82952,0.9674,0.8089,114.26,0.0037,diff,arch_se_acc_std,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_6/main.py,a1bb7536-c5bc-46ff-8cf3-a8cf4bda6292
12,19,0.8266500000000001,0.9703,0.8475,133.44,0.0037,diff,hybrid_dual_branch_attention_tcn,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_19/main.py,6d7c11ff-3940-4902-b84e-09581a9745cb
13,18,0.81482,0.9705,0.8437,143.81,0.0037,diff,kinematic_attention_mtl_rank_boost,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_18/main.py,0f6915fd-c903-4eb9-81f2-0c1cbb1f1049
14,15,0.8028499999999998,0.9687,0.839,133.36,0.0037,diff,kinematic_dual_branch_network_with_pearson_loss,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_15/main.py,97e23120-f895-4341-9f5a-0105016d3092
15,0,0.80186,0.963,0.8395,132.84,0.0037,init,initial_program,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_0/main.py,98b46310-6f3b-4b10-95fc-d30166be149c
16,20,0.79759,0.9598,0.8082,123.63,0.0037,full,transinf_heteroscedastic_mtl,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_20/main.py,7191da3f-c65c-4070-aa0a-d04ebf7a515e
17,22,0.7974800000000001,0.9591,0.8071,123.09,0.0037,diff,se_att_accel_arch,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_22/main.py,cdffff16-ae20-4e51-b951-45f3f3fc29d1
18,4,0.7953200000000001,0.9663,0.8506,164.81,0.0037,diff,enhance_tcn_architecture_with_attention,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_4/main.py,5aba6999-feb0-4bb4-8f26-182c6c9e7a09
19,2,0.7939300000000001,0.9556,0.8172,129.63,0.0037,full,attentive_rank_mtl,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_2/main.py,ff6a07da-a93b-46f9-a4d5-956d4477652e
20,14,0.7937100000000001,0.9634,0.8482,144.59,0.0037,diff,add_pearson_loss,/home/jupyter/ShinkaEvolve-main/tasks/BT_IOS_2503_Pareto_Evo/results_pareto_evolution/gen_14/main.py,c370c971-995b-43d9-81be-ca60c22a832f
